timestamp,open,high,low,close,volume,barcount
2024-10-09,571.25,575.77,570.63,575.2,251162,122578
2024-10-10,573.84,575.64,572.56,574.2,236254,126579
2024-10-11,574.12,578.38,573.98,577.64,234305,120692
2024-10-14,579.27,583.31,578.78,582.36,217844,103950
2024-10-15,582.63,582.94,576.6,577.84,297497,151954
2024-10-16,577.84,580.88,577.02,580.35,186161,96664
2024-10-17,583.99,584.15,580.21,580.4,203869,102316
2024-10-18,582.07,583.43,580.63,582.63,166469,80980
2024-10-21,581.91,582.89,578.65,581.67,213070,108473
2024-10-22,579.14,582.54,578.43,581.36,187463,94679
2024-10-23,579.31,579.76,572.48,576.05,308935,150593
2024-10-24,578.04,578.11,574.64,577.3,212322,104059
2024-10-25,579.6,582.5,576.14,577.1,277505,134957
2024-10-28,580.6,580.76,578.57,578.88,188670,96835
2024-10-29,577.93,580.96,576.49,579.82,211995,104825
2024-10-30,579.37,581.36,577.35,578.06,237627,118154
2024-10-31,573.67,573.7,566.53,566.73,335818,175074
2024-11-01,569.4,573.62,568.71,569.13,270529,135471
2024-11-04,569.26,570.58,565.99,567.9,209251,108215
2024-11-05,568.82,574.78,568.61,574.77,229883,123737
2024-11-06,587.25,589.94,583.43,589.06,408518,217277
2024-11-07,591.09,594.65,591.0,593.61,272386,128611
2024-11-08,594.17,597.63,594.16,596.18,265899,127619
2024-11-11,597.84,598.16,595.0,596.75,208096,105260
2024-11-12,596.69,597.28,592.38,594.9,232817,116998
2024-11-13,595.32,597.22,592.96,595.19,261500,128607
2024-11-14,595.32,595.81,590.66,591.36,234935,113422
2024-11-15,587.75,588.22,581.9,583.79,322791,175996
2024-11-18,584.24,587.51,583.38,586.18,210971,100245
2024-11-19,582.75,589.07,582.07,588.32,241994,125053
2024-11-20,588.4,588.81,582.67,588.52,274559,147060
2024-11-21,591.41,593.12,585.48,591.68,287857,159387
2024-11-22,591.67,594.15,591.16,593.51,205954,101888
2024-11-25,597.51,598.85,593.2,595.53,255334,130162
2024-11-26,596.79,599.31,596.06,598.64,240077,112737
2024-11-27,598.46,598.84,595.28,596.82,201024,100496
2024-11-29,597.59,601.33,597.37,600.53,164053,74407
2024-12-02,600.95,602.29,600.45,601.61,184859,93341
2024-12-03,601.36,602.13,600.32,601.88,159276,76035
2024-12-04,603.57,605.87,602.92,605.62,218436,105360
2024-12-05,605.6,606.44,604.27,604.63,182880,89966
2024-12-06,605.4,607.03,604.98,605.77,163240,76175
2024-12-09,605.65,605.82,602.05,602.65,210840,103596
2024-12-10,603.35,603.77,600.11,600.78,194806,97129
2024-12-11,603.75,606.4,603.47,605.42,165668,82830
2024-12-12,604.55,605.12,602.3,602.3,170018,84450
2024-12-13,604.37,605.09,600.79,602.18,195186,99593
2024-12-16,603.97,605.74,603.18,604.76,219081,106695
2024-12-17,602.16,603.14,600.86,602.26,251204,137273
2024-12-18,601.96,604.38,583.93,584.31,539602,289932
2024-12-19,589.39,591.03,583.88,584.13,440660,236783
2024-12-20,581.77,595.75,580.91,591.15,604063,296547
2024-12-23,590.89,595.3,587.66,594.69,271273,139652
2024-12-24,596.05,601.34,595.47,601.3,160888,74638
2024-12-26,599.44,602.48,598.08,601.34,162400,87842
2024-12-27,597.48,597.78,590.76,595.01,354255,173028
2024-12-30,587.96,591.74,584.41,588.22,271486,147768
2024-12-31,589.91,590.64,584.42,586.08,333139,170023
2025-01-02,589.39,591.13,580.5,584.64,329300,189657
2025-01-03,587.53,592.6,586.43,591.95,251039,133326
2025-01-06,596.27,599.7,593.6,595.36,271075,144075
2025-01-07,597.43,597.75,586.78,588.63,328070,162821
